,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7a-2-3p,9.770645733,0.481578626,0.313682134,1.535244037,0.124723895,0.327921338
hsa-let-7a-3p,463.0953799,0.464055493,0.101530302,4.57061077,4.86E-06,0.000141632
hsa-let-7a-5p,78373.03227,0.600329241,0.27799991,2.159458404,0.030814621,0.122903826
hsa-let-7b-3p,691.0129817,0.384790993,0.194398125,1.979396623,0.047771368,0.168406137
hsa-let-7b-5p,20029.11727,0.169595752,0.193636305,0.875846868,0.381113287,0.645672511
hsa-let-7c-3p,18.2057506,-0.607544546,0.26988514,-2.251122632,0.024377771,0.10417766
hsa-let-7c-5p,14274.836,-0.038364411,0.229224162,-0.16736635,0.867081801,0.954996585
hsa-let-7d-3p,830.2556492,0.117659428,0.182226219,0.64567782,0.518488027,0.751032829
hsa-let-7d-5p,2131.686239,0.45356225,0.327442486,1.385166156,0.166001667,0.391276625
hsa-let-7e-3p,79.11071186,0.114656347,0.173036812,0.662612457,0.50757879,0.740160157
hsa-let-7e-5p,4484.192092,0.151206119,0.215777355,0.700750638,0.483458648,0.719007393
hsa-let-7f-1-3p,68.5160278,0.330106201,0.245766579,1.343169612,0.179217059,0.411550402
hsa-let-7f-2-3p,157.8966272,0.312478821,0.097005579,3.221245876,0.001276346,0.010522317
hsa-let-7f-5p,43757.77101,0.348785663,0.26395988,1.321358621,0.186381816,0.416969576
hsa-let-7g-3p,92.34809764,-0.308500518,0.207304336,-1.488152751,0.136710614,0.345739163
hsa-let-7g-5p,14383.1666,0.407591508,0.200599117,2.031870897,0.042166728,0.153827748
hsa-let-7i-3p,150.3053333,-0.738034273,0.164274513,-4.492688861,7.03E-06,0.000171344
hsa-let-7i-5p,14316.53491,-0.484654252,0.171095323,-2.832656348,0.004616298,0.030020276
hsa-miR-1-3p,7.711092273,1.064291804,0.437136687,2.434688817,0.014904601,0.072581942
hsa-miR-1-5p,0.119060697,-0.024899416,0.520432705,-0.047843681,0.961840824,NA
hsa-miR-100-3p,74.8076268,0.818276718,0.226123421,3.618717229,0.000296067,0.003482945
hsa-miR-100-5p,27532.2786,0.002653898,0.151096217,0.017564293,0.985986442,0.997418169
hsa-miR-101-3p,35922.02932,0.101525429,0.076660122,1.324357773,0.185384252,0.416969576
hsa-miR-101-5p,157.8565791,0.442766139,0.136875802,3.234802161,0.00121727,0.010114938
hsa-miR-103a-2-5p,10.62326156,-0.37393513,0.304577582,-1.227717178,0.219553156,0.46159067
hsa-miR-103a-3p,15199.9059,0.285297513,0.131726215,2.165837024,0.030323643,0.122102989
hsa-miR-103b,0.550120286,0.96302591,0.750956288,1.282399422,0.199702567,NA
hsa-miR-105-3p,3.397535146,-0.221904886,0.515189268,-0.430724978,0.666668355,0.844016648
hsa-miR-105-5p,9.632069403,0.257374681,0.357072623,0.720790854,0.471038203,0.714749274
hsa-miR-106a-3p,2.74640114,-0.540174159,0.624942943,-0.864357564,0.387391497,0.652732757
hsa-miR-106a-5p,37.6902813,0.411049831,0.384040601,1.070329101,0.2844712,0.540546908
hsa-miR-106b-3p,337.9445612,-0.602120366,0.158034569,-3.810054796,0.000138936,0.001773975
hsa-miR-106b-5p,420.9772139,0.328970512,0.170594191,1.928380499,0.053807816,0.185318365
hsa-miR-107,429.0506429,0.789928166,0.345932658,2.283473812,0.022402474,0.098139707
hsa-miR-10a-3p,0.787985755,-0.994977214,0.752775978,-1.321744108,0.186253376,NA
hsa-miR-10a-5p,1607.420509,-0.789898561,0.298335742,-2.647683294,0.008104541,0.046368604
hsa-miR-10b-3p,0.640777947,-0.410661396,0.753478766,-0.545020529,0.585739398,NA
hsa-miR-10b-5p,2080.817617,-0.625510786,0.246148853,-2.541189113,0.011047615,0.058418447
hsa-miR-1178-5p,0.139259688,0.162809926,0.562394985,0.289493914,0.772203436,NA
hsa-miR-1179,14.38058614,-0.25366784,0.392996041,-0.645471744,0.518621524,0.751032829
hsa-miR-1180-3p,196.9056449,-0.830250761,0.202443857,-4.101140787,4.11E-05,0.000675338
hsa-miR-1180-5p,1.060297037,-0.327986241,0.750066127,-0.437276434,0.661910884,NA
hsa-miR-1181,0.710583363,-1.062978038,0.750946975,-1.415516773,0.156917034,NA
hsa-miR-1182,0.596497592,-0.424985093,0.750253964,-0.566454978,0.57108453,NA
hsa-miR-1183,0.381497065,0.10733777,0.752903436,0.142565122,0.886633645,NA
hsa-miR-1184,1.976930959,0.350210443,0.753187566,0.464971089,0.64195216,0.829290152
hsa-miR-1185-1-3p,4.690693493,1.3075008,0.476165987,2.745892893,0.006034646,0.036943678
hsa-miR-1185-2-3p,0.751306349,0.004292493,0.753311619,0.005698164,0.995453548,NA
hsa-miR-1185-5p,22.92443313,0.726109393,0.432269298,1.679761658,0.093003698,0.267513384
hsa-miR-1193,0.146223733,-0.030727837,0.567176541,-0.054176847,0.956794267,NA
hsa-miR-1197,31.8733794,0.412615439,0.548442959,0.75233975,0.451846769,0.700414878
hsa-miR-1199-3p,0.1534225,0.134762049,0.520432705,0.258942315,0.795679749,NA
hsa-miR-1199-5p,0.827176295,0.48460992,0.750819817,0.645441035,0.518641418,NA
hsa-miR-1200,0.083340676,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-1202,0.297559244,0.467957492,0.730395238,0.640690776,0.521723608,NA
hsa-miR-1203,0.100076135,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-1204,1.892468817,-0.262030772,0.582619371,-0.44974607,0.652893548,0.835671816
hsa-miR-1206,0.116573913,-0.024899416,0.520432705,-0.047843681,0.961840824,NA
hsa-miR-1207-3p,0.220778303,-0.184560882,0.520432705,-0.354629676,0.722867041,NA
hsa-miR-1207-5p,0.499262801,0.315862565,0.751657595,0.420221344,0.674323764,NA
hsa-miR-122-5p,0.945076544,-0.213641665,0.735796806,-0.290354162,0.771545307,NA
hsa-miR-1224-3p,6.221904381,0.542702705,0.409999504,1.323666735,0.185613751,0.416969576
hsa-miR-1224-5p,35.89817106,-0.172087366,0.316853517,-0.54311332,0.587051782,0.799647905
hsa-miR-1225-3p,10.64446164,1.278255467,0.433222124,2.950577534,0.003171804,0.021992577
hsa-miR-1225-5p,0.627284055,-0.559194295,0.751918614,-0.743689922,0.457064088,NA
hsa-miR-1226-3p,35.6281061,0.110859162,0.220313278,0.503188743,0.614831578,0.80871607
hsa-miR-1226-5p,1.597469642,-0.551586706,0.671368585,-0.821585517,0.411312835,NA
hsa-miR-1227-3p,2.49588506,-0.106306004,0.612924444,-0.173440634,0.862305088,0.953361591
hsa-miR-1227-5p,0.150129547,0.068510547,0.56956016,0.120286761,0.904255991,NA
hsa-miR-1228-3p,14.86615574,-1.34965587,0.378804999,-3.562930464,0.000366738,0.004084835
hsa-miR-1228-5p,2.540093916,-0.127775582,0.659491482,-0.193748646,0.846372699,0.944637663
hsa-miR-1229-3p,12.90985634,0.348692628,0.299531409,1.16412709,0.244372512,0.494889787
hsa-miR-1229-5p,0.752036377,-1.180416175,0.75292616,-1.5677715,0.116934468,NA
