"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"100.0151@0.7067557",1.97997662709781e-08,1e-04,0,0,0,0,0.3446,1.85138789784989e-06
"103.0638@0.6563706",0.0369946957378343,0.0187,0.0294,0.0091,0.6287,0.4176,0.2045,0.063230729960074
"113.9929@0.7061112",0.501533404410443,0.9977,0.295,0.9094,0.2318,0.8889,0.1666,0.54816864756117
"116.0093@0.7103422",0.258063696466693,0.105,0.5643,0.4264,0.1296,0.1607,0.7725,0.318714611304487
"118.0629@2.4663806",0.00156165201747238,0.8327,0.0507,0.053,0.0012,4e-04,0.8911,0.0049038828531278
"118.063@3.4646528",0.000773076552029184,0.0274,0.0039,0.0051,5e-04,0.0017,0.5034,0.00298799376443244
"129.0426@1.1637086",0.110322927699088,0.3641,0.1351,0.1074,0.155,0.0507,0.8517,0.156678442324567
"131.0577@0.7531318",6.50432705632253e-05,3e-04,3e-04,0,0.9133,0.2329,0.3029,0.000463606290184691
"131.0583@0.99110556",0.000241483143636367,3e-04,9e-04,1e-04,0.6065,0.5704,0.2825,0.00124694542814542
"131.0944@1.5987002",0.292837219997117,0.9132,0.1721,0.4576,0.0829,0.2874,0.3831,0.351299798385082
"132.042@2.53675",0.00188165874249646,0.1363,0.0026,0.0056,0.0105,0.018,0.5876,0.00570457627815669
"133.0376@0.6471796",0.00632831027686787,0.0277,0.0051,0.0041,0.0661,0.0257,0.7897,0.0142902514896905
"134.0197@0.7155418",0.0651651206492589,0.847,0.0756,0.1466,0.0277,0.0614,0.5297,0.100600531877888
"134.0212@0.8446767",0.00161965240256223,0.0655,0.0023,0.001,0.0566,0.0144,0.6845,0.00502392180424396
"135.902@24.89784",0.00283435494713391,0.9335,0.0414,0.1011,0.0165,0.0616,3e-04,0.00774761832740799
"135.9022@22.45129",0.0122219496503417,0.2003,0.0161,0.0141,0.0366,0.0179,0.9972,0.0242988316490474
"135.9026@22.715752",4.04173808610242e-05,8e-04,1e-04,0,0.2534,0.0314,0.3506,0.000312690085557347
"135.9076@24.60763",0.0973657053924797,0.4261,0.2132,0.2215,0.5934,0.0505,0.0237,0.140896377133826
"136.0361@0.68159103",0.032949591908836,0.7067,0.0456,0.0474,0.0351,0.0276,0.8983,0.0569709073004389
"136.0384@1.8441004",0.685943870921738,0.7392,0.6785,0.9851,0.2365,0.5726,0.4588,0.716418384283031
"138.0444@5.352578",0.0287207623620475,0.505,0.093,0.0766,0.0194,0.011,0.966,0.0505666108026887
"139.0269@7.0761294",0.252130311692343,0.0513,0.2458,0.1708,0.4436,0.4536,0.926,0.312250108750221
"141.0187@0.64541185",0.605849513836905,0.8314,0.8389,0.6286,0.4464,0.5868,0.192,0.646883146248169
"143.0579@4.033819",0.313896514136589,0.6263,0.1635,0.3133,0.1266,0.3526,0.4392,0.371902147606569
"144.0936@8.517085",0.00334830614358017,0.5943,0.009,0.018,0.0026,0.0047,0.5737,0.00866164137528461
"146.0581@3.5499961",0.00106119569839713,0.2939,0.0094,0.0146,8e-04,0.001,0.5817,0.0037322893329453
"147.0894@3.2422366",0.0500547738938094,0.1415,0.2835,0.7355,0.0086,0.0351,0.3648,0.0811192930760686
"147.9457@0.55050015",0.0635137614002004,0.0661,0.0263,0.3861,0.5532,0.1476,0.0525,0.098774549138407
"148.0517@2.5022056",0.000338399556041424,0.4392,0.0056,0.0097,4e-04,4e-04,0.567,0.0015966739616039
"149.051@4.0377917",0.513379526846506,0.6832,0.2576,0.3844,0.238,0.4268,0.6112,0.557478578585347
"150.0504@0.70100003",7.40077862992905e-07,8e-04,0,0,2e-04,7e-04,0.356,1.4041445173921e-05
