,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7a-2-3p,9.770645733,0.878332725,0.380811465,2.306476578,0.021084017,0.098275732
hsa-let-7a-3p,463.0953799,0.383083281,0.105959029,3.61539064,0.000299895,0.003625202
hsa-let-7a-5p,78373.03227,-0.170894208,0.278005948,-0.614714217,0.538743469,0.771845736
hsa-let-7b-3p,691.0129817,0.704577787,0.196353159,3.588319085,0.000332817,0.003835169
hsa-let-7b-5p,20029.11727,0.282312853,0.193677312,1.457645446,0.144938296,0.380231743
hsa-let-7c-3p,18.2057506,0.013533921,0.271283512,0.049888475,0.960211262,0.977864979
hsa-let-7c-5p,14274.836,-0.620892893,0.22922806,-2.708625169,0.006756262,0.041239957
hsa-let-7d-3p,830.2556492,0.409319506,0.183364603,2.23227111,0.02559705,0.113122447
hsa-let-7d-5p,2131.686239,-0.261965543,0.327582701,-0.799692847,0.423888778,0.701550153
hsa-let-7e-3p,79.11071186,-0.233471278,0.17784336,-1.312791649,0.189253165,0.454871642
hsa-let-7e-5p,4484.192092,-0.343260768,0.215846626,-1.590299441,0.111767324,0.325021488
hsa-let-7f-1-3p,68.5160278,0.201183504,0.254363911,0.790927861,0.428986089,0.706194723
hsa-let-7f-2-3p,157.8966272,-0.045611024,0.104037942,-0.438407597,0.66109084,0.835863616
hsa-let-7f-5p,43757.77101,-0.464446367,0.263965989,-1.759493214,0.078493772,0.264755418
hsa-let-7g-3p,92.34809764,0.519448062,0.213681506,2.430945343,0.015059486,0.07609978
hsa-let-7g-5p,14383.1666,-0.387774568,0.200630487,-1.932779874,0.053263321,0.197218241
hsa-let-7i-3p,150.3053333,-0.050042922,0.163915653,-0.305296788,0.760140122,0.883903104
hsa-let-7i-5p,14316.53491,-0.374049403,0.171090567,-2.186265496,0.028796187,0.123713235
hsa-miR-1-3p,7.711092273,-0.328792898,0.468321431,-0.702066735,0.482637546,0.742010093
hsa-miR-1-5p,0.119060697,-0.067850037,0.520432705,-0.130372354,0.896271838,NA
hsa-miR-100-3p,74.8076268,0.129294713,0.237456744,0.544497961,0.586098851,0.801175037
hsa-miR-100-5p,27532.2786,0.354230419,0.151133221,2.343828949,0.019086923,0.090369033
hsa-miR-101-3p,35922.02932,-0.315740615,0.076685537,-4.11734241,3.83E-05,0.00063009
hsa-miR-101-5p,157.8565791,0.245781485,0.144825115,1.697091592,0.089679346,0.283954164
hsa-miR-103a-2-5p,10.62326156,0.704594184,0.338602024,2.080891826,0.037443808,0.152370349
hsa-miR-103a-3p,15199.9059,0.012800889,0.131794326,0.09712777,0.922624928,0.962061287
hsa-miR-103b,0.550120286,-0.245976959,0.753043256,-0.326643864,0.743937263,NA
hsa-miR-105-3p,3.397535146,-0.437554794,0.514495387,-0.850454261,0.39507258,0.682369296
hsa-miR-105-5p,9.632069403,0.084998729,0.383653745,0.221550631,0.824663718,0.921023881
hsa-miR-106a-3p,2.74640114,-1.067078972,0.594619245,-1.794558417,0.072724083,0.250471494
hsa-miR-106a-5p,37.6902813,-0.90476103,0.385525296,-2.34682663,0.018934063,0.090137835
hsa-miR-106b-3p,337.9445612,0.089472065,0.158634679,0.564013276,0.572745097,0.794996454
hsa-miR-106b-5p,420.9772139,0.091965704,0.172622851,0.532755098,0.59420312,0.805844013
hsa-miR-107,429.0506429,-0.217328006,0.34682792,-0.626616237,0.530910823,0.770040727
hsa-miR-10a-3p,0.787985755,-0.262837786,0.753580743,-0.348785168,0.727250599,NA
hsa-miR-10a-5p,1607.420509,-1.773079573,0.29779489,-5.954029549,2.62E-09,1.70E-07
hsa-miR-10b-3p,0.640777947,0.801589933,0.752784862,1.064832695,0.286951647,NA
hsa-miR-10b-5p,2080.817617,-0.615686891,0.24603184,-2.502468338,0.012333066,0.065264678
hsa-miR-1178-5p,0.139259688,0,0.562394985,0,1,NA
hsa-miR-1179,14.38058614,0.239776617,0.404565157,0.59267738,0.553397082,0.779815546
hsa-miR-1180-3p,196.9056449,-0.489147793,0.200480279,-2.439879848,0.014692148,0.074857099
hsa-miR-1180-5p,1.060297037,-1.077013085,0.744062877,-1.447475904,0.147763681,0.385185239
hsa-miR-1181,0.710583363,0.492555824,0.750555207,0.656255289,0.51165988,NA
hsa-miR-1182,0.596497592,0.831007171,0.753140904,1.103388711,0.269858397,NA
hsa-miR-1183,0.381497065,0.306175034,0.750920014,0.407733219,0.683469547,NA
hsa-miR-1184,1.976930959,-0.083826225,0.753691943,-0.111220806,0.911441253,0.957246223
hsa-miR-1185-1-3p,4.690693493,-0.41685261,0.520689095,-0.800578722,0.423375573,0.701550153
hsa-miR-1185-2-3p,0.751306349,1.007257853,0.748896373,1.344989626,0.178628585,NA
hsa-miR-1185-5p,22.92443313,-0.530723329,0.43949545,-1.207574115,0.227211121,0.50444581
hsa-miR-1193,0.146223733,0.113302519,0.567176541,0.199765877,0.84166369,NA
hsa-miR-1197,31.8733794,0.334277308,0.554157824,0.603216798,0.546364474,0.777009685
hsa-miR-1199-3p,0.1534225,0,0.520432705,0,1,NA
hsa-miR-1199-5p,0.827176295,0.538258187,0.753049157,0.714771648,0.474750157,NA
hsa-miR-1200,0.083340676,0,0.520432705,0,1,NA
hsa-miR-1202,0.297559244,0.240454088,0.724554063,0.331864937,0.739991248,NA
hsa-miR-1203,0.100076135,0,0.520432705,0,1,NA
hsa-miR-1204,1.892468817,1.268008338,0.655261506,1.935118005,0.052975817,0.196744524
