"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"PANTOTHENATE (M+H)+",0.608374766258482,0.894,0.2886,0.6652,0.2276,0.5537,0.4667,0.700453109259766
"EPIBRASSINOLIDE [ISTD] (M+Na)+",0.237876036867609,0.2163,0.0556,0.119,0.4377,0.7901,0.5702,0.406195229065596
"N-ACETYL-DL-METHIONINE (M+Na)+",0.644833370040049,0.6591,0.2976,0.69,0.3764,0.9299,0.3075,0.731412375711132
"NICOTINAMIDE (M+H)+",0.212619673044296,0.6098,0.0675,0.1426,0.1452,0.2967,0.5693,0.3842617363746
"RIBOFLAVIN (M+H)+",0.00177666041666358,0.2694,4e-04,0.0081,0.0041,0.0889,0.1105,0.0122073764112691
"N-ACETYL-DL-METHIONINE (M+H)+",0.64914416683989,0.7105,0.3099,0.6848,0.339,0.9707,0.326,0.733793747352749
"ALPHA-LINOLENIC ACID (M+Na)+",0.00683397842998812,0.0095,0.0012,0.0056,0.2941,0.86,0.3441,0.0344238575645685
"N-METHYL-D-ASPARTIC ACID (M+H)+",0.00307087767479175,0.038,0.0066,0.0019,0.1523,0.0114,0.2578,0.0187650762832561
"1,2-DIPALMITOYL-SN-GLYCEROL (M+H)+[-H2O]",0.0612507443320573,0.0122,0.0175,0.0128,0.7347,0.8976,0.812,0.168496051289848
"HEXANOYLCARNITINE (*) M+",1.49851054290773e-05,0.001,1e-04,1e-04,4e-04,3e-04,0.7048,0.000443865760110737
"SPERMIDINE (M+H)+",0.00465773393343716,0.0601,0.0025,0.0023,0.1317,0.1164,0.9967,0.0255319165248338
"VALINE (M+H)+",0.266403004207728,0.8029,0.534,0.3805,0.1852,0.066,0.696,0.428024654389787
"GAMMA-L-GLUTAMYL-L-CYSTEINE (M+H)+",0.144959132942023,0.0436,0.0609,0.0393,0.8479,0.9954,0.8383,0.303133334104567
"BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+H)+",0.000423852914573697,0.2621,0.0181,0.0123,7e-04,1e-04,0.549,0.00423268947930209
"SARCOSINE (M+H)+",0.0876139932804183,0.0635,0.0948,0.023,0.6999,0.3202,0.1807,0.218084247046918
"METHIONINE (M+H)+",0.125476644504817,0.8324,0.1398,0.3006,0.0335,0.1311,0.3593,0.273539192596927
"TYROSINE (M+H)+",0.0530255200199564,0.4873,0.0306,0.0731,0.0373,0.1031,0.4653,0.153219089825107
"N-ACETYL-L-ASPARTIC ACID (M+Na)+",6.304253772349e-07,1e-04,0,0,0.4411,0.0081,0.0811,6.26642824971491e-05
"LEUCINE (M+Na)+",0.199539582917088,0.2391,0.0774,0.0709,0.3416,0.2828,0.988,0.369848573684579
"N-ACETYL-L-ASPARTIC ACID (M+H)+",1.88269283385445e-07,3e-04,0,0,0.0419,3e-04,0.0656,2.80709501527698e-05
"5-AMINOPENTANOATE (M+H)+",0.136630097897745,0.1934,0.0522,0.039,0.3648,0.2786,0.9385,0.290192985705894
"ISOLEUCINE (M+H)+",0.374896513652167,0.3018,0.0916,0.2123,0.4455,0.8543,0.5264,0.510475526808568
"CARNITINE (M+H)+",0.672281623295866,0.949,0.7717,0.5977,0.5177,0.2398,0.6547,0.750840374782124
"1-OLEOYL-RAC-GLYCEROL (M+Na)+",0.331280871768253,0.6239,0.1478,0.2428,0.1678,0.3081,0.6051,0.479104592053333
"PHENYLALANINE (M+H)+",0.00532718588949177,0.0236,5e-04,0.0221,0.111,0.9083,0.0754,0.0283672648615437
"TAURINE (M+Na)+",0.617910014473952,0.575,0.2568,0.3148,0.4196,0.5272,0.8165,0.707606629478235
"GLUCOSE (M+Na)+",0.60096077535003,0.2091,0.6039,0.739,0.4579,0.3073,0.8252,0.694598849648756
"CYTIDINE 5'-DIPHOSPHOCHOLINE (M+H)+",0.000173088202863325,0.0034,1e-04,1e-04,0.1197,0.0962,0.9596,0.00220576504674545
"5-OXOPROLINE (M+H)+",0.0343801877216761,0.3533,0.6607,0.3608,0.0084,0.9474,0.0068,0.112495899247496
"CITRULLINE (M+H)+",0.152393315835368,0.6707,0.5186,0.914,0.3362,0.1293,0.0297,0.31307059509688
"1-OLEOYL-RAC-GLYCEROL (M+H)+[-H2O]",0.0482998584762168,0.5416,0.05,0.0927,0.0254,0.061,0.5373,0.143781167179728
"GLUTAMATE (M+H)+[-H2O]",0.0984408457027584,0.6078,0.9651,0.0762,0.6529,0.0241,0.0815,0.235216828433995
"25-HYDROXYCHOLESTEROL (M+H)+[-H2O]",0.60461139264466,0.6377,0.805,0.4253,0.8364,0.2103,0.3139,0.697158491874543
"GUANOSINE (M+H)+",0.916846090827001,0.556,0.5704,0.5044,0.9851,0.941,0.9279,0.940219264947409
"SN-GLYCERO-3-PHOSPHOCHOLINE (M+H)+",0.000564521544545005,0.0138,0.001,5e-04,0.0865,0.0171,0.573,0.00539295342190607
"4-ACETAMIDOBUTANOATE (M+Na)+",0.421237523700003,0.1625,0.1244,0.1904,0.8365,0.8689,0.7101,0.545669111934582
"CHOLINE M+",0.226796397465547,0.2507,0.4368,0.1358,0.4044,0.382,0.094,0.397360080635877
"TRYPTOPHAN (M+Na)+",0.11785885836059,0.8602,0.1115,0.2794,0.0335,0.1407,0.3402,0.263741740834281
"BUTYRYLCARNITINE (*) (M+H)+",0.000363969389288843,0.0013,2e-04,5e-04,0.0163,0.049,0.348,0.00376859971826156
"3-AMINOISOBUTANOATE (M+H)+[-H2O]",0.405655112996818,0.1637,0.1219,0.1582,0.8234,0.9597,0.7759,0.538014067183482
"S-ADENOSYL-L-HOMOCYSTEINE (M+H)+",0.00356421207736479,0.053,5e-04,0.005,0.0516,0.3333,0.256,0.0211133851688551
"L-[15N]ANTHRANILIC ACID [ISTD] (M+H)+",0.546466183716029,0.4984,0.3661,0.7285,0.7666,0.291,0.2112,0.649227952127967
"L-TRYPTOPHAN-15N2 [ISTD] (M+H)+",0.290733801365415,0.2298,0.0774,0.128,0.516,0.7904,0.6647,0.452913402666553
"CYSTINE (M+Na)+",0.169940368221332,0.5089,0.8928,0.0764,0.5386,0.1994,0.0536,0.335160170658738
"INOSINE (M+Na)+",0.091059229788494,0.4833,0.7218,0.2593,0.0809,0.3782,0.0156,0.222938114309761
"1-METHYLXANTHINE (M+H)+",0.0205938558964317,0.3178,0.0215,0.0505,0.0128,0.0481,0.3642,0.0783302018917849
"LYSINE (M+H)+",0.0571263362883272,0.6422,0.0445,0.1797,0.0188,0.1556,0.2017,0.16040558833502
"N-ACETYL-DL-SERINE (M+H)+[-H2O]",0.105503062279089,0.9399,0.4245,0.2407,0.2894,0.1595,0.0204,0.246037062470462
"CITRULLINE (M+Na)+",0.0555207827138542,0.435,0.0422,0.3083,0.022,0.6485,0.0529,0.157379252901819
"XANTHINE (M+H)+",0.59873270023495,0.6961,0.3452,0.7638,0.1917,0.4764,0.4752,0.692930535359831
"BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+Na)+",0.000327056611066467,0.9666,0.079,0.1372,0,1e-04,0.3026,0.00353363338478335
"AZELAIC ACID (M+H)+[-H2O]",0.0286061006355044,0.0954,0.0032,0.0832,0.1236,0.9735,0.0989,0.0985027622344967
"CYTIDINE 5'-DIPHOSPHOCHOLINE (M+K)+",0.793393144272135,0.3681,0.7243,0.6278,0.4659,0.4955,0.8758,0.849804318194056
"GLUTATHIONE OXIDIZED (M+H)+",0.79579532899767,0.9624,0.6925,0.6619,0.4604,0.3792,0.956,0.851169896366948
"GUANINE (M+H)+",0.0747622642485402,0.0516,0.7576,0.7819,0.0172,0.0526,0.5243,0.196944409884405
"HYPOXANTHINE (M+H)+",0.462828584127144,0.3574,0.607,0.786,0.1234,0.4193,0.3705,0.58038470894329
"L-ARGININE (M+H)+",0.006164085325713,0.0258,0.0013,0.0035,0.1281,0.2999,0.5129,0.0319119834049933
"16:0 LYSO PC (M+Na)+",0.952987129547052,0.725,0.9251,0.9227,0.6405,0.6087,0.996,0.969662441043517
"CHOLINE PHOSPHATE (M+Na)+",0.861582902281466,0.5131,0.5001,0.4328,0.9188,0.8703,0.9698,0.900855615218559
"N-METHYL-D-ASPARTIC ACID (M+Na)+",0.160866817723901,0.1264,0.109,0.0548,0.7811,0.1783,0.3716,0.324124898954508
"CHOLINE PHOSPHATE (M+H)+",0.0115237872767008,0.1483,0.0051,0.0079,0.0527,0.0712,0.6504,0.05145180616197
"GAMMA-L-GLUTAMYL-L-CYSTEINE (M+H)+[-H2O]",0.328646297839175,0.1545,0.1213,0.2644,0.7406,0.3897,0.2947,0.47806012690557
"480.3463@19.827978",0.236430679246199,0.2071,0.057,0.1125,0.4596,0.7886,0.5982,0.404263925178994
"245.1628@4.626385",0.000110780102242969,0.0024,1e-04,0,0.0506,0.0284,0.8879,0.0016193444357281
"241.0927@3.229081",0.533450825152063,0.8424,0.3076,0.6349,0.1755,0.4259,0.4826,0.639369115998172
"219.1124@3.9194984",0.581866260403046,0.2139,0.2656,0.3701,0.9317,0.6636,0.7446,0.67884397047022
"208.0848@2.2031257",0.00098325898733076,0.0041,4e-04,0.0011,0.0655,0.2104,0.4045,0.00796760407668566
"310.0743@9.412725",0.431128149531261,0.3358,0.1071,0.2791,0.4504,0.9376,0.4693,0.554462972563467
