	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-let-7a-2-3p	23	21	15	22	24	10	13	13	2	9	4	7	11	3	1
hsa-let-7a-3p	793	954	896	770	938	432	486	416	221	377	309	371	456	320	150
hsa-let-7a-5p	142698	160750	132783	125481	144633	115376	55012	41075	14085	71334	85036	88623	96636	53455	28883
hsa-let-7b-3p	1343	1446	1255	1206	1421	722	807	611	235	825	291	656	577	420	164
hsa-let-7b-5p	32501	36402	29752	30473	35636	26834	21548	17155	5820	22066	19658	22601	22240	12547	5691
hsa-let-7c-3p	23	22	17	17	15	15	25	19	14	16	22	23	20	22	8
hsa-let-7c-5p	17510	19925	16442	14436	16259	14955	12377	9409	3064	15654	22821	16682	26103	16437	8099
hsa-let-7d-3p	1260	1466	1350	1281	1463	923	1017	867	322	837	371	1002	892	577	314
hsa-let-7d-5p	3615	4170	3282	3094	3559	2901	1303	1027	299	2624	2269	2475	2996	1588	987
hsa-let-7e-3p	104	133	96	115	126	94	71	83	21	65	103	113	113	67	27
hsa-let-7e-5p	6395	6967	5776	5832	6689	6514	3915	2941	1086	3861	5913	5513	6918	4241	1977
hsa-let-7f-1-3p	108	143	115	102	131	77	68	63	18	73	47	62	53	87	19
hsa-let-7f-2-3p	241	299	222	239	293	147	168	148	58	127	155	172	186	131	67
hsa-let-7f-5p	67188	76444	63621	56943	63641	61658	31838	22458	8503	40082	52883	54767	59065	39588	25880
hsa-let-7g-3p	123	114	102	143	161	82	134	141	37	112	72	125	96	58	27
hsa-let-7g-5p	22583	25526	21039	20422	23400	18806	12192	9477	3143	11229	16962	18642	18540	12512	7175
hsa-let-7i-3p	146	168	135	131	156	130	245	207	61	143	191	232	188	176	66
hsa-let-7i-5p	14411	16395	13573	13181	15111	14523	15356	12537	4673	17045	18470	18360	19859	19276	9373
hsa-miR-1-3p	9	20	16	18	19	11	3	7	2	0	8	4	10	5	4
hsa-miR-1-5p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-100-3p	172	187	152	126	143	75	64	48	19	68	48	61	68	74	16
hsa-miR-100-5p	49246	43357	35343	40760	44146	26930	40000	34203	11807	22277	23170	22777	26928	27710	9039
hsa-miR-101-3p	48471	55388	44514	47202	54320	30158	41988	35538	13193	25977	44888	50018	49868	32877	16919
hsa-miR-101-5p	294	307	272	250	326	129	173	162	66	130	129	170	187	80	45
hsa-miR-103a-2-5p	14	19	12	15	13	10	15	15	8	11	5	10	11	9	3
hsa-miR-103a-3p	24583	28369	22907	22111	26313	17366	13867	12251	5467	14289	15797	17234	17444	10453	6367
hsa-miR-103b	1	2	1	1	3	0	1	0	0	0	2	0	0	0	0
hsa-miR-105-3p	4	6	4	3	3	4	3	6	1	1	4	6	8	5	0
hsa-miR-105-5p	13	20	15	12	21	11	15	9	5	2	5	10	13	12	2
hsa-miR-106a-3p	3	2	2	0	2	5	1	1	1	1	6	8	2	5	2
hsa-miR-106a-5p	50	51	38	50	69	64	13	11	5	27	57	51	71	51	19
hsa-miR-106b-3p	401	404	298	360	374	376	534	459	119	323	335	392	371	370	207
hsa-miR-106b-5p	741	873	636	613	722	424	564	435	92	352	401	447	406	342	162
hsa-miR-107	848	908	703	800	911	569	304	200	104	303	611	629	520	174	65
hsa-miR-10a-3p	1	0	0	0	0	3	1	0	0	0	1	0	1	1	2
hsa-miR-10a-5p	812	880	661	687	743	2064	778	644	325	489	3761	4465	3569	2084	1819
hsa-miR-10b-3p	2	1	0	1	0	0	1	0	1	2	0	0	0	1	0
hsa-miR-10b-5p	2016	2019	1388	1764	1800	2768	2426	1134	732	1778	3421	3241	2397	2227	2055
hsa-miR-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1178-5p	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1179	17	16	13	28	24	15	25	19	8	8	11	17	36	9	0
hsa-miR-1180-3p	116	148	115	191	228	187	279	249	66	142	304	247	402	235	140
hsa-miR-1180-5p	2	1	0	0	0	0	3	0	0	0	1	1	5	1	2
hsa-miR-1181	0	1	1	0	0	0	1	2	1	1	0	2	0	1	0
hsa-miR-1182	2	1	0	0	1	1	1	0	1	1	0	1	0	0	0
hsa-miR-1183	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0
hsa-miR-1184	1	0	0	10	7	0	0	3	0	4	0	0	3	4	1
hsa-miR-1185-1-3p	10	12	7	10	16	2	2	2	2	4	5	8	4	2	0
hsa-miR-1185-2-3p	0	2	1	1	3	0	0	2	2	0	0	0	0	0	0
hsa-miR-1185-5p	42	39	37	38	50	24	19	13	2	19	42	42	40	7	1
hsa-miR-1193	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1197	102	102	75	14	12	42	45	28	7	23	36	44	40	5	1
hsa-miR-1199-3p	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1199-5p	1	5	0	2	1	0	0	2	1	0	0	0	0	0	1
hsa-miR-1200	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1202	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1203	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1204	2	1	4	5	4	4	3	3	0	3	1	1	1	1	0
hsa-miR-1205	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1206	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1207-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
hsa-miR-1207-5p	1	1	1	2	0	0	1	1	0	0	0	1	0	1	0
hsa-miR-1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	2	0	0	1	2	1	2	0	0	1	1	4	3	0	0
hsa-miR-1224-3p	13	7	15	9	16	6	6	6	3	4	3	4	10	5	1
hsa-miR-1224-5p	53	57	39	49	60	42	51	46	23	18	51	50	47	13	4
hsa-miR-1225-3p	37	35	35	16	20	5	7	12	7	2	1	4	10	3	1
hsa-miR-1225-5p	1	2	0	0	1	2	0	0	0	3	0	0	0	1	0
hsa-miR-1226-3p	73	78	50	46	46	47	44	41	13	26	21	33	33	28	17
hsa-miR-1226-5p	0	5	2	1	1	2	6	1	0	1	1	2	3	3	0
